County,Date,Hour,Predicted
Victoria,2/1/2016,1,115.97
Victoria,2/1/2016,2,112.47
Victoria,2/1/2016,3,111.16
Victoria,2/1/2016,4,110.94
Victoria,2/1/2016,5,113.94
Victoria,2/1/2016,6,121.56
Victoria,2/1/2016,7,133.13
Victoria,2/1/2016,8,136.28
Victoria,2/1/2016,9,137.42
Victoria,2/1/2016,10,140.58
Victoria,2/1/2016,11,144.03
Victoria,2/1/2016,12,146.62
Victoria,2/1/2016,13,149.98
Victoria,2/1/2016,14,153.12
Victoria,2/1/2016,15,155.44
Victoria,2/1/2016,16,157.20
Victoria,2/1/2016,17,155.42
Victoria,2/1/2016,18,153.95
Victoria,2/1/2016,19,158.64
Victoria,2/1/2016,20,158.24
Victoria,2/1/2016,21,155.26
Victoria,2/1/2016,22,149.90
Victoria,2/1/2016,23,140.37
Victoria,2/1/2016,24,129.98
Calhoun,2/1/2016,1,27.75
Calhoun,2/1/2016,2,26.92
Calhoun,2/1/2016,3,26.60
Calhoun,2/1/2016,4,26.55
Calhoun,2/1/2016,5,27.27
Calhoun,2/1/2016,6,29.09
Calhoun,2/1/2016,7,31.86
Calhoun,2/1/2016,8,32.61
Calhoun,2/1/2016,9,32.89
Calhoun,2/1/2016,10,33.64
Calhoun,2/1/2016,11,34.47
Calhoun,2/1/2016,12,35.09
Calhoun,2/1/2016,13,35.89
Calhoun,2/1/2016,14,36.64
Calhoun,2/1/2016,15,37.20
Calhoun,2/1/2016,16,37.62
Calhoun,2/1/2016,17,37.19
Calhoun,2/1/2016,18,36.84
Calhoun,2/1/2016,19,37.97
Calhoun,2/1/2016,20,37.87
Calhoun,2/1/2016,21,37.16
Calhoun,2/1/2016,22,35.87
Calhoun,2/1/2016,23,33.59
Calhoun,2/1/2016,24,31.11
Brazoria,2/1/2016,1,430.51
Brazoria,2/1/2016,2,417.53
Brazoria,2/1/2016,3,412.66
Brazoria,2/1/2016,4,411.86
Brazoria,2/1/2016,5,422.99
Brazoria,2/1/2016,6,451.27
Brazoria,2/1/2016,7,494.21
Brazoria,2/1/2016,8,505.90
Brazoria,2/1/2016,9,510.16
Brazoria,2/1/2016,10,521.87
Brazoria,2/1/2016,11,534.68
Brazoria,2/1/2016,12,544.30
Brazoria,2/1/2016,13,556.78
Brazoria,2/1/2016,14,568.43
Brazoria,2/1/2016,15,577.06
Brazoria,2/1/2016,16,583.59
Brazoria,2/1/2016,17,576.97
Brazoria,2/1/2016,18,571.52
Brazoria,2/1/2016,19,588.93
Brazoria,2/1/2016,20,587.42
Brazoria,2/1/2016,21,576.38
Brazoria,2/1/2016,22,556.48
