County,Date,Predicted
Anderson,12/1/2015,1221.91
Andrews,12/1/2015,1795.96
Angelina,12/1/2015,1860.67
Aransas,12/1/2015,709.92
Archer,12/1/2015,158.16
Armstrong,12/1/2015,35.10
Atascosa,12/1/2015,1358.14
Austin,12/1/2015,891.97
Bandera,12/1/2015,640.07
Bastrop,12/1/2015,2391.84
Baylor,12/1/2015,64.48
Bee,12/1/2015,934.22
Bell,12/1/2015,11734.18
Bexar,12/1/2015,56859.18
Blanco,12/1/2015,331.26
Borden,12/1/2015,66.98
Bosque,12/1/2015,633.87
Bowie,12/1/2015,1674.47
Brazoria,12/1/2015,11671.89
Brazos,12/1/2015,4434.90
Brewster,12/1/2015,942.64
Briscoe,12/1/2015,27.57
Brooks,12/1/2015,204.50
Brown,12/1/2015,1342.37
Burleson,12/1/2015,528.60
Burnet,12/1/2015,1376.93
Caldwell,12/1/2015,1219.68
Calhoun,12/1/2015,752.41
Callahan,12/1/2015,597.89
Cameron,12/1/2015,11950.96
Carson,12/1/2015,107.95
Castro,12/1/2015,139.69
Chambers,12/1/2015,1316.74
Cherokee,12/1/2015,1079.37
Childress,12/1/2015,127.23
Clay,12/1/2015,186.16
Coke,12/1/2015,143.97
Coleman,12/1/2015,372.99
Collin,12/1/2015,31559.72
Collingsworth,12/1/2015,54.17
Colorado,12/1/2015,634.79
Comal,12/1/2015,3789.68
Comanche,12/1/2015,483.06
Concho,12/1/2015,179.18
Cooke,12/1/2015,695.84
Coryell,12/1/2015,2693.86
Cottle,12/1/2015,25.40
Crane,12/1/2015,508.64
Crockett,12/1/2015,391.73
Crosby,12/1/2015,105.92
Culberson,12/1/2015,232.86
Dallas,12/1/2015,89791.97
Dawson,12/1/2015,1374.11
DeWitt,12/1/2015,633.71
Deaf Smith,12/1/2015,344.58
Delta,12/1/2015,111.09
Denton,12/1/2015,26858.19
Dickens,12/1/2015,39.82
Dimmit,12/1/2015,315.24
Duval,12/1/2015,327.86
Eastland,12/1/2015,647.99
Ector,12/1/2015,15815.29
Edwards,12/1/2015,83.11
Ellis,12/1/2015,29714.64
Erath,12/1/2015,1431.30
Falls,12/1/2015,605.68
Fannin,12/1/2015,605.90
Fayette,12/1/2015,760.82
Fisher,12/1/2015,169.50
Floyd,12/1/2015,106.76
Foard,12/1/2015,22.90
Fort Bend,12/1/2015,23657.83
Franklin,12/1/2015,224.77
Freestone,12/1/2015,419.04
Frio,12/1/2015,526.81
Galveston,12/1/2015,10845.98
Garza,12/1/2015,115.51
Gillespie,12/1/2015,1129.14
Glasscock,12/1/2015,132.67
Goliad,12/1/2015,214.58
Gonzales,12/1/2015,626.90
Gray,12/1/2015,413.67
Grayson,12/1/2015,2217.67
Gregg,12/1/2015,2612.45
Grimes,12/1/2015,576.15
Guadalupe,12/1/2015,4511.37
Hale,12/1/2015,623.28
Hall,12/1/2015,56.51
Hamilton,12/1/2015,292.31
Hardeman,12/1/2015,70.51
Hardin,12/1/2015,1179.39
Harris,12/1/2015,153314.34
Haskell,12/1/2015,103.56
Hays,12/1/2015,5668.72
Henderson,12/1/2015,1681.29
Hidalgo,12/1/2015,23625.82
Hill,12/1/2015,1242.34
Hood,12/1/2015,1922.35
Hopkins,12/1/2015,761.66
Houston,12/1/2015,482.21
Howard,12/1/2015,3766.28
Hudspeth,12/1/2015,329.93
Hunt,12/1/2015,3154.87
Irion,12/1/2015,69.65
Jack,12/1/2015,315.70
Jackson,12/1/2015,508.78
Jeff Davis,12/1/2015,226.51
Jim Hogg,12/1/2015,149.39
Jim Wells,12/1/2015,1175.58
Johnson,12/1/2015,5613.45
Jones,12/1/2015,882.08
Karnes,12/1/2015,456.68
Kaufman,12/1/2015,3965.67
Kendall,12/1/2015,1191.16
Kenedy,12/1/2015,11.38
Kent,12/1/2015,14.11
Kerr,12/1/2015,2237.13
Kimble,12/1/2015,196.35
King,12/1/2015,4.71
Kinney,12/1/2015,156.02
Kleberg,12/1/2015,915.09
Knox,12/1/2015,69.24
La Salle,12/1/2015,212.48
Lamar,12/1/2015,889.00
Lampasas,12/1/2015,891.80
Lavaca,12/1/2015,604.20
Lee,12/1/2015,512.93
Leon,12/1/2015,357.52
Liberty,12/1/2015,1656.42
Limestone,12/1/2015,838.68
Live Oak,12/1/2015,343.74
Llano,12/1/2015,863.20
Loving,12/1/2015,8.84
Lubbock,12/1/2015,5277.34
Lynn,12/1/2015,103.61
Madison,12/1/2015,293.91
Martin,12/1/2015,561.08
Mason,12/1/2015,180.13
Matagorda,12/1/2015,1260.61
Maverick,12/1/2015,1621.06
McCulloch,12/1/2015,362.79
McLennan,12/1/2015,8678.91
McMullen,12/1/2015,22.87
Medina,12/1/2015,1467.34
Menard,12/1/2015,95.02
Midland,12/1/2015,16013.20
Milam,12/1/2015,743.15
Mills,12/1/2015,173.64
Mitchell,12/1/2015,401.57
Montague,12/1/2015,348.56
Montgomery,12/1/2015,17913.85
Motley,12/1/2015,20.71
Nacogdoches,12/1/2015,1384.67
Navarro,12/1/2015,1718.20
Nolan,12/1/2015,667.79
Nueces,12/1/2015,10126.67
Oldham,12/1/2015,37.16
Palo Pinto,12/1/2015,1001.62
Parker,12/1/2015,4390.92
Pecos,12/1/2015,1633.17
Polk,12/1/2015,977.11
Potter,12/1/2015,2183.42
Presidio,12/1/2015,716.86
Rains,12/1/2015,233.92
Reagan,12/1/2015,385.87
Real,12/1/2015,149.15
Red River,12/1/2015,223.43
Reeves,12/1/2015,1474.51
Refugio,12/1/2015,207.59
