Region,Date,Hour,Actual,Predicted,Delta
Coast,12/1/2015,1,8226.50,8330.42,1.26%
Coast,12/1/2015,2,7952.76,8146.69,2.44%
Coast,12/1/2015,3,7835.81,8047.00,2.70%
Coast,12/1/2015,4,7867.87,8091.66,2.84%
Coast,12/1/2015,5,8165.39,8304.18,1.70%
Coast,12/1/2015,6,8824.88,9024.32,2.26%
Coast,12/1/2015,7,9650.10,9928.53,2.89%
Coast,12/1/2015,8,9950.71,10143.80,1.94%
Coast,12/1/2015,9,10027.81,10288.13,2.60%
Coast,12/1/2015,10,10097.45,10344.60,2.45%
Coast,12/1/2015,11,10122.88,10447.68,3.21%
Coast,12/1/2015,12,10118.62,10557.99,4.34%
Coast,12/1/2015,13,10011.72,10350.46,3.38%
Coast,12/1/2015,14,9983.78,10253.51,2.70%
Coast,12/1/2015,15,9878.40,10178.02,3.03%
Coast,12/1/2015,16,9817.57,10088.11,2.76%
Coast,12/1/2015,17,9853.85,10120.73,2.71%
Coast,12/1/2015,18,10321.38,10384.40,0.61%
Coast,12/1/2015,19,10507.27,10641.88,1.28%
Coast,12/1/2015,20,10410.93,10700.59,2.78%
Coast,12/1/2015,21,10236.87,10443.80,2.02%
Coast,12/1/2015,22,9824.46,10043.45,2.23%
Coast,12/1/2015,23,9150.60,9412.67,2.86%
Coast,12/1/2015,24,8586.31,8779.51,2.25%
East,12/1/2015,1,1205.89,1113.17,7.69%
East,12/1/2015,2,1186.14,1083.44,8.66%
East,12/1/2015,3,1149.26,1088.22,5.31%
East,12/1/2015,4,1195.10,1101.62,7.82%
East,12/1/2015,5,1203.64,1135.27,5.68%
East,12/1/2015,6,1317.45,1233.33,6.39%
East,12/1/2015,7,1482.22,1388.31,6.34%
East,12/1/2015,8,1476.43,1449.50,1.82%
East,12/1/2015,9,1424.93,1455.97,2.18%
East,12/1/2015,10,1421.63,1455.83,2.41%
East,12/1/2015,11,1410.15,1414.11,0.28%
East,12/1/2015,12,1435.34,1372.63,4.37%
East,12/1/2015,13,1406.87,1320.32,6.15%
East,12/1/2015,14,1393.32,1294.83,7.07%
East,12/1/2015,15,1341.23,1282.88,4.35%
East,12/1/2015,16,1376.24,1284.14,6.69%
East,12/1/2015,17,1417.00,1316.11,7.12%
East,12/1/2015,18,1520.10,1386.05,8.82%
East,12/1/2015,19,1536.07,1433.74,6.66%
East,12/1/2015,20,1539.24,1411.48,8.30%
East,12/1/2015,21,1535.96,1383.38,9.93%
East,12/1/2015,22,1489.69,1330.21,10.71%
East,12/1/2015,23,1421.20,1274.53,10.32%
East,12/1/2015,24,1327.00,1214.05,8.51%
West,12/1/2015,1,999.02,1031.77,3.28%
West,12/1/2015,2,988.28,1029.89,4.21%
West,12/1/2015,3,983.88,1000.94,1.73%
West,12/1/2015,4,993.80,1015.11,2.14%
West,12/1/2015,5,1028.74,1044.26,1.51%
West,12/1/2015,6,1090.54,1103.39,1.18%
West,12/1/2015,7,1200.81,1199.42,0.12%
West,12/1/2015,8,1247.95,1229.02,1.52%
West,12/1/2015,9,1228.29,1237.14,0.72%
West,12/1/2015,10,1185.65,1214.41,2.43%
West,12/1/2015,11,1147.55,1185.61,3.32%
West,12/1/2015,12,1106.65,1145.88,3.55%
West,12/1/2015,13,1062.13,1126.10,6.02%
West,12/1/2015,14,1036.21,1121.45,8.23%
West,12/1/2015,15,1027.00,1099.57,7.07%
West,12/1/2015,16,1021.41,1078.51,5.59%
West,12/1/2015,17,1030.55,1091.43,5.91%
West,12/1/2015,18,1073.83,1138.96,6.07%
West,12/1/2015,19,1143.91,1194.47,4.42%
West,12/1/2015,20,1162.04,1221.79,5.14%
West,12/1/2015,21,1171.63,1209.22,3.21%
West,12/1/2015,22,1137.23,1183.47,4.07%
West,12/1/2015,23,1081.83,1127.66,4.24%
West,12/1/2015,24,1036.06,1078.41,4.09%
FarWest,12/1/2015,1,1949.14,1982.73,1.72%
FarWest,12/1/2015,2,1939.15,1969.63,1.57%
FarWest,12/1/2015,3,1942.95,1981.78,2.00%
FarWest,12/1/2015,4,1946.15,1990.71,2.29%
FarWest,12/1/2015,5,1964.32,2006.20,2.13%
FarWest,12/1/2015,6,2021.94,2065.62,2.16%
FarWest,12/1/2015,7,2111.82,2165.53,2.54%
FarWest,12/1/2015,8,2155.12,2199.82,2.07%
FarWest,12/1/2015,9,2129.39,2165.63,1.70%
FarWest,12/1/2015,10,2109.06,2114.30,0.25%
FarWest,12/1/2015,11,2081.41,2112.98,1.52%
FarWest,12/1/2015,12,2055.99,2097.18,2.00%
FarWest,12/1/2015,13,2010.93,2053.27,2.11%
FarWest,12/1/2015,14,1996.04,2024.34,1.42%
FarWest,12/1/2015,15,1973.79,2025.71,2.63%
FarWest,12/1/2015,16,1968.05,2003.07,1.78%
FarWest,12/1/2015,17,1969.60,2003.32,1.71%
