Date,Texas,TexasPredicted,TexasDelta,Coastal,CoastalPredicted,CoastalDelta,East,EastPredicted,EastDelta,Far West,FarWestPredicted,FarWestDelta,North,NorthPredicted,NorthDelta,North Cental,NorthCentralPredicted,NorthCentralDelta,South,SouthPredicted,SouthDelta,South Central,SouthCentralPredicted,SouthCentralDelta,West,WestPredicted,WestDelta
12/01/15 00:00:00,31656.61,31285.04,1.17%,8226.50,8330.42,1.26%,1205.89,1113.17,7.69%,1949.14,1982.73,1.72%,763.57,779.23,2.05%,11055.19,10921.55,1.21%,2499.37,2384.01,4.62%,4957.92,4742.17,4.35%,999.02,1031.77,3.28%
12/01/15 01:00:00,30787.40,30543.93,0.79%,7952.76,8146.69,2.44%,1186.14,1083.44,8.66%,1939.15,1969.63,1.57%,757.66,782.05,3.22%,10788.65,10671.64,1.08%,2384.95,2310.71,3.11%,4789.82,4549.88,5.01%,988.28,1029.89,4.21%
12/01/15 02:00:00,30557.55,30136.32,1.38%,7835.81,8047.00,2.70%,1149.26,1088.22,5.31%,1942.95,1981.78,2.00%,762.75,775.13,1.62%,10815.51,10488.07,3.03%,2337.87,2254.22,3.58%,4729.50,4500.96,4.83%,983.88,1000.94,1.73%
12/01/15 03:00:00,30802.01,30489.08,1.02%,7867.87,8091.66,2.84%,1195.10,1101.62,7.82%,1946.15,1990.71,2.29%,775.67,794.41,2.42%,10952.00,10655.58,2.71%,2315.12,2217.98,4.20%,4756.28,4622.02,2.82%,993.80,1015.11,2.14%
12/01/15 04:00:00,31874.76,32046.68,0.54%,8165.39,8304.18,1.70%,1203.64,1135.27,5.68%,1964.32,2006.20,2.13%,799.30,819.53,2.53%,11406.32,11590.11,1.61%,2370.76,2231.62,5.87%,4936.29,4915.52,0.42%,1028.74,1044.26,1.51%
12/01/15 05:00:00,34610.00,34339.58,0.78%,8824.88,9024.32,2.26%,1317.45,1233.33,6.39%,2021.94,2065.62,2.16%,846.99,867.07,2.37%,12488.32,12126.22,2.90%,2546.74,2488.41,2.29%,5473.13,5431.22,0.77%,1090.54,1103.39,1.18%
12/01/15 06:00:00,38546.42,38262.02,0.74%,9650.10,9928.53,2.89%,1482.22,1388.31,6.34%,2111.82,2165.53,2.54%,924.13,921.61,0.27%,14031.94,13550.77,3.43%,2912.25,2868.07,1.52%,6233.17,6239.77,0.11%,1200.81,1199.42,0.12%
12/01/15 07:00:00,39753.25,40067.64,0.79%,9950.71,10143.80,1.94%,1476.43,1449.50,1.82%,2155.12,2199.82,2.07%,951.68,948.54,0.33%,14533.62,14487.20,0.32%,2979.13,3057.27,2.62%,6458.61,6552.49,1.45%,1247.95,1229.02,1.52%
12/01/15 08:00:00,39177.47,39910.17,1.87%,10027.81,10288.13,2.60%,1424.93,1455.97,2.18%,2129.39,2165.63,1.70%,941.32,936.10,0.56%,14157.83,14240.88,0.59%,2904.63,2929.43,0.85%,6363.27,6656.90,4.61%,1228.29,1237.14,0.72%
12/01/15 09:00:00,38680.00,39671.81,2.56%,10097.45,10344.60,2.45%,1421.63,1455.83,2.41%,2109.06,2114.30,0.25%,919.95,906.47,1.47%,13772.13,14074.37,2.19%,2909.04,3012.79,3.57%,6265.09,6549.04,4.53%,1185.65,1214.41,2.43%
12/01/15 10:00:00,38092.09,38753.92,1.74%,10122.88,10447.68,3.21%,1410.15,1414.11,0.28%,2081.41,2112.98,1.52%,889.07,891.34,0.26%,13396.43,13205.35,1.43%,2902.44,3185.29,9.75%,6142.16,6311.55,2.76%,1147.55,1185.61,3.32%
12/01/15 11:00:00,37441.88,38319.13,2.34%,10118.62,10557.99,4.34%,1435.34,1372.63,4.37%,2055.99,2097.18,2.00%,853.33,844.20,1.07%,13006.56,13104.11,0.75%,2907.40,3124.85,7.48%,5958.01,6072.28,1.92%,1106.65,1145.88,3.55%
12/01/15 12:00:00,36612.65,37213.48,1.64%,10011.72,10350.46,3.38%,1406.87,1320.32,6.15%,2010.93,2053.27,2.11%,827.33,815.74,1.40%,12641.63,12763.28,0.96%,2889.42,2944.07,1.89%,5762.62,5840.24,1.35%,1062.13,1126.10,6.02%
12/01/15 13:00:00,36041.91,36236.54,0.54%,9983.78,10253.51,2.70%,1393.32,1294.83,7.07%,1996.04,2024.34,1.42%,808.66,801.79,0.85%,12336.28,12213.90,0.99%,2865.04,2859.56,0.19%,5622.58,5667.16,0.79%,1036.21,1121.45,8.23%
12/01/15 14:00:00,35656.45,35603.50,0.15%,9878.40,10178.02,3.03%,1341.23,1282.88,4.35%,1973.79,2025.71,2.63%,784.28,778.43,0.75%,12239.24,11757.35,3.94%,2834.63,2882.16,1.68%,5577.87,5599.39,0.39%,1027.00,1099.57,7.07%
12/01/15 15:00:00,35620.72,35299.93,0.90%,9817.57,10088.11,2.76%,1376.24,1284.14,6.69%,1968.05,2003.07,1.78%,770.75,731.14,5.14%,12208.93,11595.94,5.02%,2831.84,2913.42,2.88%,5625.92,5605.60,0.36%,1021.41,1078.51,5.59%
