Region,Date,Hour,Actual,Predicted,Delta
Coast,2/1/2016,1,8388.38,8342.98,0.54%
Coast,2/1/2016,2,8135.53,8125.19,0.13%
Coast,2/1/2016,3,8040.59,8048.70,0.10%
Coast,2/1/2016,4,8025.00,7998.48,0.33%
Coast,2/1/2016,5,8241.79,8226.78,0.18%
Coast,2/1/2016,6,8792.77,8641.83,1.72%
Coast,2/1/2016,7,9629.52,9461.06,1.75%
Coast,2/1/2016,8,9857.36,9775.09,0.83%
Coast,2/1/2016,9,9940.36,10008.41,0.68%
Coast,2/1/2016,10,10168.56,10221.71,0.52%
Coast,2/1/2016,11,10418.08,10386.08,0.31%
Coast,2/1/2016,12,10605.53,10564.07,0.39%
Coast,2/1/2016,13,10848.72,10484.94,3.35%
Coast,2/1/2016,14,11075.63,10635.69,3.97%
Coast,2/1/2016,15,11243.87,11130.74,1.01%
Coast,2/1/2016,16,11371.05,10729.59,5.64%
Coast,2/1/2016,17,11242.05,10643.77,5.32%
Coast,2/1/2016,18,11135.84,10976.70,1.43%
Coast,2/1/2016,19,11475.20,11230.42,2.13%
Coast,2/1/2016,20,11445.79,11257.81,1.64%
Coast,2/1/2016,21,11230.55,10952.45,2.48%
Coast,2/1/2016,22,10842.79,10620.20,2.05%
Coast,2/1/2016,23,10153.21,9961.44,1.89%
Coast,2/1/2016,24,9402.02,9176.95,2.39%
East,2/1/2016,1,923.91,1033.72,11.89%
East,2/1/2016,2,899.88,1009.80,12.21%
East,2/1/2016,3,871.71,998.50,14.54%
East,2/1/2016,4,912.33,1024.72,12.32%
East,2/1/2016,5,945.40,1056.28,11.73%
East,2/1/2016,6,998.05,1129.03,13.12%
East,2/1/2016,7,1165.91,1226.66,5.21%
East,2/1/2016,8,1235.82,1246.68,0.88%
East,2/1/2016,9,1198.89,1238.95,3.34%
East,2/1/2016,10,1276.95,1249.15,2.18%
East,2/1/2016,11,1266.01,1246.82,1.52%
East,2/1/2016,12,1263.64,1243.10,1.63%
East,2/1/2016,13,1259.25,1231.56,2.20%
East,2/1/2016,14,1265.83,1237.64,2.23%
East,2/1/2016,15,1286.43,1245.40,3.19%
East,2/1/2016,16,1267.43,1244.94,1.77%
East,2/1/2016,17,1273.29,1248.13,1.98%
East,2/1/2016,18,1256.21,1261.60,0.43%
East,2/1/2016,19,1341.07,1314.38,1.99%
East,2/1/2016,20,1355.24,1311.13,3.25%
East,2/1/2016,21,1314.52,1292.69,1.66%
East,2/1/2016,22,1189.82,1229.74,3.36%
East,2/1/2016,23,1107.23,1154.46,4.27%
East,2/1/2016,24,1054.51,1059.46,0.47%
West,2/1/2016,1,832.13,945.07,13.57%
West,2/1/2016,2,826.06,939.99,13.79%
West,2/1/2016,3,838.87,953.51,13.67%
West,2/1/2016,4,854.30,1000.85,17.15%
West,2/1/2016,5,889.45,997.13,12.11%
West,2/1/2016,6,971.47,1071.81,10.33%
West,2/1/2016,7,1116.74,1222.28,9.45%
West,2/1/2016,8,1180.36,1266.63,7.31%
West,2/1/2016,9,1137.69,1199.56,5.44%
West,2/1/2016,10,1092.58,1118.04,2.33%
West,2/1/2016,11,1049.92,1037.86,1.15%
West,2/1/2016,12,1013.02,1002.03,1.09%
West,2/1/2016,13,994.30,989.88,0.44%
West,2/1/2016,14,992.08,992.96,0.09%
West,2/1/2016,15,983.07,988.59,0.56%
West,2/1/2016,16,984.98,999.59,1.48%
West,2/1/2016,17,988.57,993.71,0.52%
West,2/1/2016,18,979.16,989.06,1.01%
West,2/1/2016,19,1027.16,1003.14,2.34%
West,2/1/2016,20,1049.09,1047.29,0.17%
West,2/1/2016,21,1030.94,1021.03,0.96%
West,2/1/2016,22,989.70,975.89,1.39%
West,2/1/2016,23,935.16,947.15,1.28%
West,2/1/2016,24,884.31,928.49,5.00%
FarWest,2/1/2016,1,1844.54,1917.57,3.96%
FarWest,2/1/2016,2,1838.53,1937.84,5.40%
FarWest,2/1/2016,3,1851.77,1901.34,2.68%
FarWest,2/1/2016,4,1864.84,1935.52,3.79%
FarWest,2/1/2016,5,1896.44,1934.36,2.00%
FarWest,2/1/2016,6,1956.94,1995.25,1.96%
FarWest,2/1/2016,7,2062.28,2087.09,1.20%
FarWest,2/1/2016,8,2118.20,2112.83,0.25%
FarWest,2/1/2016,9,2100.53,2124.88,1.16%
FarWest,2/1/2016,10,2063.84,2098.51,1.68%
FarWest,2/1/2016,11,2045.38,2064.31,0.93%
FarWest,2/1/2016,12,2035.86,2046.67,0.53%
FarWest,2/1/2016,13,2012.77,2020.00,0.36%
FarWest,2/1/2016,14,2013.77,2075.02,3.04%
FarWest,2/1/2016,15,2012.56,2035.95,1.16%
FarWest,2/1/2016,16,2007.80,2040.99,1.65%
FarWest,2/1/2016,17,1997.13,2029.47,1.62%
FarWest,2/1/2016,18,1985.15,2005.12,1.01%
FarWest,2/1/2016,19,2057.87,2063.25,0.26%
FarWest,2/1/2016,20,2098.56,2118.63,0.96%
FarWest,2/1/2016,21,2111.99,2115.36,0.16%
FarWest,2/1/2016,22,2112.70,2120.46,0.37%
FarWest,2/1/2016,23,2064.25,2060.59,0.18%
FarWest,2/1/2016,24,2009.13,2000.42,0.43%
North,2/1/2016,1,619.44,653.38,5.48%
North,2/1/2016,2,617.77,664.42,7.55%
North,2/1/2016,3,624.48,681.08,9.06%
North,2/1/2016,4,637.19,688.02,7.98%
North,2/1/2016,5,659.11,707.11,7.28%
North,2/1/2016,6,719.77,774.68,7.63%
North,2/1/2016,7,816.98,866.24,6.03%
North,2/1/2016,8,857.04,897.96,4.77%
North,2/1/2016,9,838.15,873.48,4.21%
North,2/1/2016,10,815.60,836.13,2.52%
North,2/1/2016,11,791.59,803.54,1.51%
North,2/1/2016,12,766.67,770.33,0.48%
North,2/1/2016,13,745.59,744.02,0.21%
North,2/1/2016,14,734.34,734.86,0.07%
North,2/1/2016,15,718.76,725.58,0.95%
North,2/1/2016,16,712.28,721.75,1.33%
North,2/1/2016,17,706.90,715.43,1.21%
North,2/1/2016,18,718.91,732.01,1.82%
North,2/1/2016,19,763.76,764.69,0.12%
North,2/1/2016,20,763.57,762.56,0.13%
North,2/1/2016,21,751.43,751.88,0.06%
North,2/1/2016,22,722.35,716.69,0.78%
North,2/1/2016,23,679.18,689.46,1.51%
North,2/1/2016,24,641.93,639.38,0.40%
NorthCentral,2/1/2016,1,8342.09,9144.67,9.62%
NorthCentral,2/1/2016,2,8146.56,8910.10,9.37%
NorthCentral,2/1/2016,3,8164.48,8849.32,8.39%
NorthCentral,2/1/2016,4,8346.10,8991.39,7.73%
NorthCentral,2/1/2016,5,8896.81,9174.59,3.12%
NorthCentral,2/1/2016,6,10073.04,10738.34,6.60%
NorthCentral,2/1/2016,7,11916.06,11967.97,0.44%
NorthCentral,2/1/2016,8,12627.98,12764.41,1.08%
NorthCentral,2/1/2016,9,12246.31,12653.03,3.32%
NorthCentral,2/1/2016,10,11903.76,11928.68,0.21%
NorthCentral,2/1/2016,11,11719.22,12015.79,2.53%
NorthCentral,2/1/2016,12,11558.73,11593.58,0.30%
NorthCentral,2/1/2016,13,11372.52,11470.74,0.86%
NorthCentral,2/1/2016,14,11109.18,10973.39,1.22%
NorthCentral,2/1/2016,15,10881.23,10961.05,0.73%
NorthCentral,2/1/2016,16,10768.36,10961.25,1.79%
NorthCentral,2/1/2016,17,10753.87,10900.21,1.36%
