Region,Date,Hour,Actual,Predicted,Delta
Coast,1/1/2016,1,9001.48,8752.48,2.77%
Coast,1/1/2016,2,8864.56,8444.16,4.74%
Coast,1/1/2016,3,8745.76,8503.40,2.77%
Coast,1/1/2016,4,8689.88,8502.26,2.16%
Coast,1/1/2016,5,8733.70,8828.78,1.09%
Coast,1/1/2016,6,8920.23,9006.70,0.97%
Coast,1/1/2016,7,9104.40,9818.17,7.84%
Coast,1/1/2016,8,9178.30,9568.11,4.25%
Coast,1/1/2016,9,9335.49,10037.08,7.52%
Coast,1/1/2016,10,9680.87,10194.95,5.31%
Coast,1/1/2016,11,10002.14,10409.26,4.07%
Coast,1/1/2016,12,10122.31,10487.23,3.61%
Coast,1/1/2016,13,10190.75,10437.73,2.42%
Coast,1/1/2016,14,10090.09,10328.70,2.36%
Coast,1/1/2016,15,9978.95,10235.32,2.57%
Coast,1/1/2016,16,9995.44,9996.04,0.01%
Coast,1/1/2016,17,10094.17,10175.05,0.80%
Coast,1/1/2016,18,10597.37,10744.13,1.38%
Coast,1/1/2016,19,10809.28,10926.77,1.09%
Coast,1/1/2016,20,10686.84,10820.59,1.25%
Coast,1/1/2016,21,10575.22,10758.88,1.74%
Coast,1/1/2016,22,10387.34,10651.01,2.54%
Coast,1/1/2016,23,10110.46,10196.96,0.86%
Coast,1/1/2016,24,9714.66,9547.02,1.73%
East,1/1/2016,1,1148.36,1166.43,1.57%
East,1/1/2016,2,1134.91,1158.97,2.12%
East,1/1/2016,3,1126.86,1157.45,2.71%
East,1/1/2016,4,1129.42,1158.08,2.54%
East,1/1/2016,5,1141.77,1180.80,3.42%
East,1/1/2016,6,1182.99,1216.83,2.86%
East,1/1/2016,7,1221.50,1255.72,2.80%
East,1/1/2016,8,1250.87,1320.46,5.56%
East,1/1/2016,9,1285.64,1355.33,5.42%
East,1/1/2016,10,1323.28,1371.50,3.64%
East,1/1/2016,11,1343.05,1375.22,2.40%
East,1/1/2016,12,1335.94,1348.99,0.98%
East,1/1/2016,13,1297.10,1314.72,1.36%
East,1/1/2016,14,1259.36,1289.11,2.36%
East,1/1/2016,15,1235.55,1259.57,1.94%
East,1/1/2016,16,1232.86,1243.66,0.88%
East,1/1/2016,17,1250.24,1253.94,0.30%
East,1/1/2016,18,1340.21,1326.51,1.02%
East,1/1/2016,19,1392.44,1392.65,0.01%
East,1/1/2016,20,1388.52,1352.51,2.59%
East,1/1/2016,21,1382.00,1342.96,2.82%
East,1/1/2016,22,1355.15,1345.50,0.71%
East,1/1/2016,23,1310.20,1314.93,0.36%
East,1/1/2016,24,1252.30,1274.65,1.79%
West,1/1/2016,1,1088.09,1051.99,3.32%
West,1/1/2016,2,1080.37,1039.14,3.82%
West,1/1/2016,3,1069.64,1040.34,2.74%
West,1/1/2016,4,1073.66,1047.39,2.45%
West,1/1/2016,5,1096.41,1059.09,3.40%
West,1/1/2016,6,1131.92,1099.23,2.89%
West,1/1/2016,7,1173.05,1156.39,1.42%
West,1/1/2016,8,1207.81,1193.68,1.17%
West,1/1/2016,9,1230.41,1219.23,0.91%
West,1/1/2016,10,1252.47,1249.50,0.24%
West,1/1/2016,11,1259.08,1239.46,1.56%
West,1/1/2016,12,1236.07,1228.51,0.61%
West,1/1/2016,13,1218.10,1201.30,1.38%
West,1/1/2016,14,1208.70,1188.91,1.64%
West,1/1/2016,15,1184.92,1173.09,1.00%
West,1/1/2016,16,1177.44,1167.04,0.88%
West,1/1/2016,17,1183.26,1170.12,1.11%
West,1/1/2016,18,1231.41,1201.58,2.42%
West,1/1/2016,19,1281.96,1233.41,3.79%
West,1/1/2016,20,1284.42,1227.34,4.44%
West,1/1/2016,21,1272.57,1203.68,5.41%
West,1/1/2016,22,1263.12,1175.25,6.96%
West,1/1/2016,23,1220.33,1143.08,6.33%
West,1/1/2016,24,1180.69,1113.99,5.65%
FarWest,1/1/2016,1,2107.90,2106.52,0.07%
FarWest,1/1/2016,2,2100.70,2062.68,1.81%
FarWest,1/1/2016,3,2099.97,2070.88,1.39%
FarWest,1/1/2016,4,2104.95,2084.09,0.99%
FarWest,1/1/2016,5,2117.07,2109.71,0.35%
FarWest,1/1/2016,6,2128.87,2143.27,0.68%
FarWest,1/1/2016,7,2130.15,2165.11,1.64%
FarWest,1/1/2016,8,2151.10,2134.00,0.80%
FarWest,1/1/2016,9,2147.73,2166.43,0.87%
FarWest,1/1/2016,10,2173.37,2184.30,0.50%
FarWest,1/1/2016,11,2188.11,2193.10,0.23%
FarWest,1/1/2016,12,2204.53,2177.83,1.21%
FarWest,1/1/2016,13,2203.60,2167.40,1.64%
FarWest,1/1/2016,14,2186.07,2170.69,0.70%
FarWest,1/1/2016,15,2166.09,2175.77,0.45%
FarWest,1/1/2016,16,2160.88,2171.09,0.47%
FarWest,1/1/2016,17,2163.43,2151.37,0.56%
FarWest,1/1/2016,18,2192.50,2186.92,0.25%
FarWest,1/1/2016,19,2246.20,2245.16,0.05%
FarWest,1/1/2016,20,2245.80,2236.21,0.43%
FarWest,1/1/2016,21,2236.22,2244.01,0.35%
FarWest,1/1/2016,22,2204.95,2186.89,0.82%
FarWest,1/1/2016,23,2166.68,2153.78,0.60%
FarWest,1/1/2016,24,2126.65,2126.02,0.03%
North,1/1/2016,1,788.54,787.37,0.15%
North,1/1/2016,2,782.36,782.30,0.01%
North,1/1/2016,3,781.24,780.13,0.14%
North,1/1/2016,4,785.26,794.10,1.12%
North,1/1/2016,5,790.25,819.53,3.71%
North,1/1/2016,6,805.20,835.03,3.71%
North,1/1/2016,7,827.83,863.19,4.27%
North,1/1/2016,8,853.27,874.23,2.46%
North,1/1/2016,9,871.24,906.67,4.07%
North,1/1/2016,10,880.67,921.66,4.65%
North,1/1/2016,11,870.79,898.55,3.19%
North,1/1/2016,12,849.07,878.11,3.42%
North,1/1/2016,13,822.42,853.43,3.77%
North,1/1/2016,14,815.53,822.54,0.86%
North,1/1/2016,15,809.19,832.76,2.91%
North,1/1/2016,16,787.00,801.78,1.88%
North,1/1/2016,17,785.00,811.26,3.35%
North,1/1/2016,18,832.78,872.64,4.79%
North,1/1/2016,19,873.85,897.29,2.68%
North,1/1/2016,20,876.07,929.70,6.12%
North,1/1/2016,21,871.42,901.09,3.40%
North,1/1/2016,22,860.22,866.95,0.78%
North,1/1/2016,23,839.04,854.18,1.80%
North,1/1/2016,24,814.40,814.77,0.04%
NorthCentral,1/1/2016,1,11409.34,11236.93,1.51%
NorthCentral,1/1/2016,2,11235.17,10841.14,3.51%
NorthCentral,1/1/2016,3,11151.97,11186.69,0.31%
NorthCentral,1/1/2016,4,11209.70,11425.14,1.92%
NorthCentral,1/1/2016,5,11428.72,11953.01,4.59%
NorthCentral,1/1/2016,6,11833.21,12168.26,2.83%
NorthCentral,1/1/2016,7,12257.02,13494.45,10.10%
NorthCentral,1/1/2016,8,12599.73,13577.93,7.76%
NorthCentral,1/1/2016,9,12923.80,14022.56,8.50%
NorthCentral,1/1/2016,10,13269.18,14384.89,8.41%
NorthCentral,1/1/2016,11,13272.91,14455.99,8.91%
NorthCentral,1/1/2016,12,13189.62,13560.08,2.81%
NorthCentral,1/1/2016,13,12947.45,13821.87,6.75%
NorthCentral,1/1/2016,14,12667.29,13233.13,4.47%
NorthCentral,1/1/2016,15,12428.94,13118.69,5.55%
NorthCentral,1/1/2016,16,12262.83,13009.39,6.09%
NorthCentral,1/1/2016,17,12378.68,13342.00,7.78%
NorthCentral,1/1/2016,18,13146.01,14363.49,9.26%
NorthCentral,1/1/2016,19,13672.89,14367.97,5.08%
NorthCentral,1/1/2016,20,13584.41,13979.56,2.91%
NorthCentral,1/1/2016,21,13454.57,13528.94,0.55%
NorthCentral,1/1/2016,22,13198.76,13320.31,0.92%
NorthCentral,1/1/2016,23,12780.83,12801.05,0.16%
NorthCentral,1/1/2016,24,12248.07,12152.57,0.78%
South,1/1/2016,1,2829.99,2616.83,7.53%
South,1/1/2016,2,2830.08,2581.30,8.79%
South,1/1/2016,3,2789.47,2474.73,11.28%
South,1/1/2016,4,2758.00,2610.93,5.33%
South,1/1/2016,5,2769.68,2503.44,9.61%
South,1/1/2016,6,2820.74,2752.97,2.40%
South,1/1/2016,7,2886.14,3065.66,6.22%
South,1/1/2016,8,2915.77,3269.72,12.14%
