Date,Texas,TexasPredicted,TexasDelta,Coastal,CoastalPredicted,CoastalDelta,East,EastPredicted,EastDelta,Far West,FarWestPredicted,FarWestDelta,North,NorthPredicted,NorthDelta,North Cental,NorthCentralPredicted,NorthCentralDelta,South,SouthPredicted,SouthDelta,South Central,SouthCentralPredicted,SouthCentralDelta,West,WestPredicted,WestDelta
1/01/16 00:00:00,33852.76,33062.71,2.33%,9001.48,8752.48,2.77%,1148.36,1166.43,1.57%,2107.90,2106.52,0.07%,788.54,787.37,0.15%,11409.34,11236.93,1.51%,2829.99,2616.83,7.53%,5479.06,5344.16,2.46%,1088.09,1051.99,3.32%
1/01/16 01:00:00,33434.10,32160.94,3.81%,8864.56,8444.16,4.74%,1134.91,1158.97,2.12%,2100.70,2062.68,1.81%,782.36,782.30,0.01%,11235.17,10841.14,3.51%,2830.08,2581.30,8.79%,5405.96,5251.26,2.86%,1080.37,1039.14,3.82%
1/01/16 02:00:00,33099.07,32444.62,1.98%,8745.76,8503.40,2.77%,1126.86,1157.45,2.71%,2099.97,2070.88,1.39%,781.24,780.13,0.14%,11151.97,11186.69,0.31%,2789.47,2474.73,11.28%,5334.16,5230.99,1.93%,1069.64,1040.34,2.74%
1/01/16 03:00:00,33053.81,32919.80,0.41%,8689.88,8502.26,2.16%,1129.42,1158.08,2.54%,2104.95,2084.09,0.99%,785.26,794.10,1.12%,11209.70,11425.14,1.92%,2758.00,2610.93,5.33%,5302.94,5297.82,0.10%,1073.66,1047.39,2.45%
1/01/16 04:00:00,33441.90,33851.69,1.23%,8733.70,8828.78,1.09%,1141.77,1180.80,3.42%,2117.07,2109.71,0.35%,790.25,819.53,3.71%,11428.72,11953.01,4.59%,2769.68,2503.44,9.61%,5364.30,5397.33,0.62%,1096.41,1059.09,3.40%
1/01/16 05:00:00,34400.41,34872.74,1.37%,8920.23,9006.70,0.97%,1182.99,1216.83,2.86%,2128.87,2143.27,0.68%,805.20,835.03,3.71%,11833.21,12168.26,2.83%,2820.74,2752.97,2.40%,5577.24,5650.46,1.31%,1131.92,1099.23,2.89%
1/01/16 06:00:00,35395.75,37732.05,6.60%,9104.40,9818.17,7.84%,1221.50,1255.72,2.80%,2130.15,2165.11,1.64%,827.83,863.19,4.27%,12257.02,13494.45,10.10%,2886.14,3065.66,6.22%,5795.66,5913.36,2.03%,1173.05,1156.39,1.42%
1/01/16 07:00:00,36094.31,38005.27,5.29%,9178.30,9568.11,4.25%,1250.87,1320.46,5.56%,2151.10,2134.00,0.80%,853.27,874.23,2.46%,12599.73,13577.93,7.76%,2915.77,3269.72,12.14%,5937.46,6067.16,2.18%,1207.81,1193.68,1.17%
1/01/16 08:00:00,36857.73,39296.52,6.62%,9335.49,10037.08,7.52%,1285.64,1355.33,5.42%,2147.73,2166.43,0.87%,871.24,906.67,4.07%,12923.80,14022.56,8.50%,2986.19,3397.53,13.78%,6077.23,6191.68,1.88%,1230.41,1219.23,0.91%
1/01/16 09:00:00,38056.84,40081.68,5.32%,9680.87,10194.95,5.31%,1323.28,1371.50,3.64%,2173.37,2184.30,0.50%,880.67,921.66,4.65%,13269.18,14384.89,8.41%,3123.55,3443.53,10.24%,6353.44,6331.35,0.35%,1252.47,1249.50,0.24%
1/01/16 10:00:00,38761.05,40492.70,4.47%,10002.14,10409.26,4.07%,1343.05,1375.22,2.40%,2188.11,2193.10,0.23%,870.79,898.55,3.19%,13272.91,14455.99,8.91%,3247.58,3534.41,8.83%,6577.39,6386.72,2.90%,1259.08,1239.46,1.56%
1/01/16 11:00:00,38880.27,39393.95,1.32%,10122.31,10487.23,3.61%,1335.94,1348.99,0.98%,2204.53,2177.83,1.21%,849.07,878.11,3.42%,13189.62,13560.08,2.81%,3352.41,3426.42,2.21%,6590.33,6286.78,4.61%,1236.07,1228.51,0.61%
1/01/16 12:00:00,38613.15,39366.65,1.95%,10190.75,10437.73,2.42%,1297.10,1314.72,1.36%,2203.60,2167.40,1.64%,822.42,853.43,3.77%,12947.45,13821.87,6.75%,3412.10,3333.21,2.31%,6521.63,6237.00,4.36%,1218.10,1201.30,1.38%
1/01/16 13:00:00,38104.06,38537.16,1.14%,10090.09,10328.70,2.36%,1259.36,1289.11,2.36%,2186.07,2170.69,0.70%,815.53,822.54,0.86%,12667.29,13233.13,4.47%,3428.01,3328.92,2.89%,6449.02,6175.17,4.25%,1208.70,1188.91,1.64%
1/01/16 14:00:00,37616.30,38118.37,1.33%,9978.95,10235.32,2.57%,1235.55,1259.57,1.94%,2166.09,2175.77,0.45%,809.19,832.76,2.91%,12428.94,13118.69,5.55%,3433.31,3246.94,5.43%,6379.35,6076.23,4.75%,1184.92,1173.09,1.00%
1/01/16 15:00:00,37480.78,37584.25,0.28%,9995.44,9996.04,0.01%,1232.86,1243.66,0.88%,2160.88,2171.09,0.47%,787.00,801.78,1.88%,12262.83,13009.39,6.09%,3451.21,3080.27,10.75%,6413.14,6114.99,4.65%,1177.44,1167.04,0.88%
1/01/16 16:00:00,37923.56,38182.91,0.68%,10094.17,10175.05,0.80%,1250.24,1253.94,0.30%,2163.43,2151.37,0.56%,785.00,811.26,3.35%,12378.68,13342.00,7.78%,3517.56,3086.94,12.24%,6551.22,6192.22,5.48%,1183.26,1170.12,1.11%
1/01/16 17:00:00,39874.49,40473.08,1.50%,10597.37,10744.13,1.38%,1340.21,1326.51,1.02%,2192.50,2186.92,0.25%,832.78,872.64,4.79%,13146.01,14363.49,9.26%,3659.56,3342.07,8.68%,6874.65,6435.73,6.38%,1231.41,1201.58,2.42%
1/01/16 18:00:00,41171.12,41449.41,0.68%,10809.28,10926.77,1.09%,1392.44,1392.65,0.01%,2246.20,2245.16,0.05%,873.85,897.29,2.68%,13672.89,14367.97,5.08%,3815.91,3722.66,2.44%,7078.59,6663.50,5.86%,1281.96,1233.41,3.79%
1/01/16 19:00:00,40902.00,40855.22,0.11%,10686.84,10820.59,1.25%,1388.52,1352.51,2.59%,2245.80,2236.21,0.43%,876.07,929.70,6.12%,13584.41,13979.56,2.91%,3822.20,3730.42,2.40%,7013.73,6578.89,6.20%,1284.42,1227.34,4.44%
1/01/16 20:00:00,40525.08,40108.27,1.03%,10575.22,10758.88,1.74%,1382.00,1342.96,2.82%,2236.22,2244.01,0.35%,871.42,901.09,3.40%,13454.57,13528.94,0.55%,3813.10,3621.56,5.02%,6919.99,6507.16,5.97%,1272.57,1203.68,5.41%
1/01/16 21:00:00,39774.84,39591.43,0.46%,10387.34,10651.01,2.54%,1355.15,1345.50,0.71%,2204.95,2186.89,0.82%,860.22,866.95,0.78%,13198.76,13320.31,0.92%,3746.74,3697.16,1.32%,6758.56,6348.35,6.07%,1263.12,1175.25,6.96%
1/01/16 22:00:00,38564.48,38026.47,1.40%,10110.46,10196.96,0.86%,1310.20,1314.93,0.36%,2166.68,2153.78,0.60%,839.04,854.18,1.80%,12780.83,12801.05,0.16%,3655.23,3440.15,5.88%,6481.73,6122.34,5.54%,1220.33,1143.08,6.33%
1/01/16 23:00:00,37005.23,36215.73,2.13%,9714.66,9547.02,1.73%,1252.30,1274.65,1.79%,2126.65,2126.02,0.03%,814.40,814.77,0.04%,12248.07,12152.57,0.78%,3508.54,3338.90,4.83%,6159.91,5847.80,5.07%,1180.69,1113.99,5.65%
1/02/16 00:00:00,35639.57,34554.57,3.04%,9390.00,9147.52,2.58%,1228.11,1250.36,1.81%,2153.87,2110.45,2.02%,783.12,783.78,0.08%,11700.07,11521.37,1.53%,3355.61,3116.21,7.13%,5879.10,5557.50,5.47%,1149.69,1067.38,7.16%
1/02/16 01:00:00,34751.64,33727.34,2.95%,9159.56,8930.99,2.50%,1209.69,1236.20,2.19%,2133.04,2047.28,4.02%,774.93,779.64,0.61%,11399.38,11291.03,0.95%,3266.45,2997.85,8.22%,5674.94,5396.87,4.90%,1133.64,1047.49,7.60%
1/02/16 02:00:00,34190.90,33252.72,2.74%,9029.29,8835.20,2.15%,1199.58,1218.00,1.54%,2122.48,2059.75,2.96%,771.67,783.40,1.52%,11193.16,11026.50,1.49%,3188.69,2988.95,6.26%,5559.24,5302.83,4.61%,1126.80,1038.08,7.87%
1/02/16 03:00:00,33907.22,33498.89,1.20%,8926.23,8936.02,0.11%,1191.55,1219.61,2.35%,2114.91,2061.77,2.51%,769.04,782.16,1.71%,11100.45,11071.33,0.26%,3161.51,3090.17,2.26%,5514.88,5283.03,4.20%,1128.64,1054.80,6.54%
1/02/16 04:00:00,34180.10,33799.70,1.11%,9000.16,8995.32,0.05%,1201.69,1234.67,2.74%,2121.81,2085.42,1.72%,775.20,748.59,3.43%,11191.66,11266.77,0.67%,3179.93,3082.17,3.07%,5569.08,5325.48,4.37%,1140.57,1061.27,6.95%
1/02/16 05:00:00,35017.07,35195.97,0.51%,9186.96,9171.35,0.17%,1244.92,1269.14,1.95%,2131.03,2129.56,0.07%,790.91,768.28,2.86%,11500.35,12018.30,4.50%,3264.36,3216.83,1.46%,5729.82,5535.83,3.39%,1168.71,1086.67,7.02%
