Region,Date,Hour,Actual,Predicted,Delta
Coast,3/1/2016,1,8260.21,8344.64,1.02%
Coast,3/1/2016,2,7967.63,8120.02,1.91%
Coast,3/1/2016,3,7829.08,8051.72,2.84%
Coast,3/1/2016,4,7806.78,8044.40,3.04%
Coast,3/1/2016,5,8007.31,8215.87,2.60%
Coast,3/1/2016,6,8617.06,8650.12,0.38%
Coast,3/1/2016,7,9478.82,9461.06,0.19%
Coast,3/1/2016,8,9671.36,9775.09,1.07%
Coast,3/1/2016,9,9889.19,10058.02,1.71%
Coast,3/1/2016,10,10188.57,10221.71,0.33%
Coast,3/1/2016,11,10397.77,10350.18,0.46%
Coast,3/1/2016,12,10582.35,10654.37,0.68%
Coast,3/1/2016,13,10690.73,10523.30,1.57%
Coast,3/1/2016,14,10879.78,10913.72,0.31%
Coast,3/1/2016,15,10886.47,10802.50,0.77%
Coast,3/1/2016,16,10805.97,11111.59,2.83%
Coast,3/1/2016,17,10823.79,11201.68,3.49%
Coast,3/1/2016,18,10824.59,10997.85,1.60%
Coast,3/1/2016,19,10893.27,11117.40,2.06%
Coast,3/1/2016,20,10997.77,10742.89,2.32%
Coast,3/1/2016,21,10830.43,10507.80,2.98%
Coast,3/1/2016,22,10380.33,10162.53,2.10%
Coast,3/1/2016,23,9644.13,9527.03,1.21%
Coast,3/1/2016,24,8886.56,9051.63,1.86%
East,3/1/2016,1,996.53,991.54,0.50%
East,3/1/2016,2,960.74,954.14,0.69%
East,3/1/2016,3,916.45,929.11,1.38%
East,3/1/2016,4,937.13,927.89,0.99%
East,3/1/2016,5,947.49,952.49,0.53%
East,3/1/2016,6,1021.40,1012.01,0.92%
East,3/1/2016,7,1151.61,1115.59,3.13%
East,3/1/2016,8,1136.12,1154.24,1.59%
East,3/1/2016,9,1167.80,1161.28,0.56%
East,3/1/2016,10,1218.89,1211.51,0.61%
East,3/1/2016,11,1239.54,1223.44,1.30%
East,3/1/2016,12,1259.67,1233.18,2.10%
East,3/1/2016,13,1267.97,1238.67,2.31%
East,3/1/2016,14,1253.06,1235.68,1.39%
East,3/1/2016,15,1263.51,1238.56,1.97%
East,3/1/2016,16,1261.04,1224.93,2.86%
East,3/1/2016,17,1254.74,1217.04,3.00%
East,3/1/2016,18,1175.53,1206.18,2.61%
East,3/1/2016,19,1259.04,1275.68,1.32%
East,3/1/2016,20,1316.97,1298.41,1.41%
East,3/1/2016,21,1253.14,1274.31,1.69%
East,3/1/2016,22,1203.99,1211.97,0.66%
East,3/1/2016,23,1078.52,1144.88,6.15%
East,3/1/2016,24,1050.22,1051.38,0.11%
West,3/1/2016,1,825.67,853.07,3.32%
West,3/1/2016,2,806.14,850.17,5.46%
West,3/1/2016,3,802.48,831.31,3.59%
West,3/1/2016,4,799.28,830.42,3.90%
West,3/1/2016,5,808.15,839.80,3.92%
West,3/1/2016,6,850.49,880.62,3.54%
West,3/1/2016,7,946.67,969.16,2.38%
West,3/1/2016,8,977.14,982.79,0.58%
West,3/1/2016,9,972.85,989.53,1.71%
West,3/1/2016,10,980.50,1011.82,3.19%
West,3/1/2016,11,990.26,1039.34,4.96%
West,3/1/2016,12,996.90,1025.39,2.86%
West,3/1/2016,13,987.03,1009.87,2.31%
West,3/1/2016,14,988.61,989.91,0.13%
West,3/1/2016,15,992.10,977.06,1.52%
West,3/1/2016,16,986.28,978.33,0.81%
West,3/1/2016,17,987.67,983.70,0.40%
West,3/1/2016,18,982.28,985.55,0.33%
West,3/1/2016,19,997.87,1014.62,1.68%
West,3/1/2016,20,1036.04,1033.42,0.25%
West,3/1/2016,21,1027.17,1020.91,0.61%
