address	lat	long	type	propertyType	subtype	buildingSize	lotSize	bill	price	description
address	null	null	type	propertyType	subtype	buildingSize	lotSize	bill	price	description
110 S SOUTHWEST LOOP 323, Tyler, TX 75702	32.35255	-95.34282	Food Sale	Retail	Free Standing Bldg	14,820 SF Bldg	1.93 AC	$4,446.00	$9,150,000	Walgreen Co. (S&P: BBB), a subsidiary of Walgreens Boots Alliance Inc. (NASDAQ: WBA). Walgreens is just 2.6 miles north of the planned $11 million 80,000 square foot two- story office facility.
5671 Treaschwig Road, Spring, TX 77373	30.045736	-95.34813	Food Sale	Retail	Free Standing Bldg	45,000 SF Bldg	4.01 AC	$13,500.00	$3,560,000	INVESTMENT GRADE TENANT: The Kroger Co. is the largest traditional grocery chain in the United States. EXCELLENT ACCESS & VISIBILITY: The site is positioned with strong frontage.
1101 N Beckley Ave, Desoto, TX 75115	32.60797	-96.82338	Food Service	Retail	Free Standing Bldg	6,163 SF Bldg	1.97 AC	$1,771.86	$3,599,000	Bloomin' Brands, Inc. (NASDAQ:BLMN) is one of the world' s largest casual dining restaurant. The property is situated with excellent frontage and tremendous access both to and from Interstate 35 E.
1111 DALLAS ST, Conroe, TX 77301	30.315014	-95.468575	Food Service	Retail	Restaurant	6,545 SF Bldg	1.09 AC	$1,881.69	$1,650,000	PRICE REDUCED. Free standing, fully functional restaurant, with 75 parking spaces. Excellent Visibility and Accessibility to I-45.
1151 W IH-20, Arlington, TX 76017	32.777023	-97.14321	Food Service	Retail	Free Standing Bldg	6,163 SF Bldg	2.04 AC	$1,771.86	$4,746,000	Bloomin' Brands, Inc. (NASDAQ:BLMN) is one of the world' s largest casual dining restaurant.  The property is situated with excellent frontage and tremendous access both to and from Interstate 20.
11600 Research Boulevard Austin, TX 78759	30.415756	-97.747185	Food Service	Retail	Free Standing Bldg	6,115 SF Bldg	2.12 AC	$1,758.06	$3,793,000	Outback Steakhouse is a casual steakhouse restaurant focused on steaks. At closing, Outback Steakhouse will execute new 15- year NNN lease with four 5-year options to renew.
1550 I-10 South Beaumont, TX 77707	30.063276	-94.13545	Food Service	Retail	Free Standing Bldg	6,163 SF Bldg	1.58 AC	$1,771.86	$6,347,000	Carrabba' s Italian Grill is an authentic Italian restaurant focused on casual dining in a warm, festive atmosphere. At closing, Carrabba' s will execute new 15- year NNN lease with four 5-year options to renew.
3200 Kemp Boulevard Wichita Falls, TX 76308	33.880352	-98.52939	Food Service	Retail	Restaurant	1,489 SF Bldg	0.61 AC	$428.09	$900,000	CBRE has been exclusively retained to offer for sale this single-tenant, absolute NNN lease retail investment. The offering includes a 1,342 SF building situated on approximately 0.61 acres.
370 Highway 105 East, Sour Lake, TX 77659	30.139252	-94.399574	Food Service	Retail	Restaurant	1,648 SF Bldg	0.75 SF	$473.80	$1,440,000	As exclusive advisor for the seller, CBRE is pleased to offer a sale-leaseback of a Sonic Drive-In. Sour Lake is a city in Hardin County, Texas, United States. The population was 1,813 at the 2010.
4304 South Clack Street, Abilene, TX 79606	32.397617	-99.753334	Food Service	Retail	Restaurant	2,725 SF Bldg	0.64 AC	$783.44	$1,010,000	CBRE Portfolio Services is pleased to offer for sale an absolute NNN net leased restaurant located in Abilene. Abilene is located 150 miles west of Fort Worth along Interstate 20. The city is served by Interstate 20.
502 West Bay Area Boulevard, Webster, TX 77598	29.54611	-95.13331	Food Service	Retail	Free Standing Bldg	6,552 SF Bldg	1.80 AC	$1,883.70	$6,774,000	Carrabba' s Italian Grill is an authentic Italian restaurant focused on casual dining in a warm, festive atmosphere. The property is situated with excellent frontage and tremendous access both to and from Bay Area.
614 South Main Street, Seminole, TX 79360	32.711376	-102.64473	Food Service	Retail	Restaurant	1,882 SF Bldg	0.37 AC	$541.08	$325,000	CBRE Portfolio Services is pleased to offer for sale an absolute NNN net leased restaurant located in Seminole. Seminole is a city in and the county seat of Gaines County in west Texas.
4750 North Expressway Brownsville, TX 78526	26.005869	-97.52949	Health Care	Health Care	Acute Care Hospital	79,396 SF Bldg	5 AC	$9,461.36		A rare simple fee inpatient vacant hospital investment opportunity. Three story acute care medical/surgical. Property is in a strategic freeway frontage area bordering a recognized medical destination.
5510 PRESIDIO PARKWAY, San Antonio, TX 78249	29.585367	-98.59187	Health Care	Health Care	Acute Care Hospital	154,282 SF Bldg		$18,385.27		A RARE, BRAND NEW ACUTE CARE HOSPITAL INVESTMENT OPPORTUNITYWITH ON-CAMPUS. 
