address	lat,long	type	propertyType	subtype	buildingSize	spaceAvailablity	bill	rent	spaces	description
1 Riverway, Houston, TX 77056	29.76104	-95.462685	Office	Office	Office Building	481,222 SF Bldg	1,231 - 20,390 SF	$130.28 - $2,157.94	$20 - 22 /SF/Yr	14 Spaces	The Riverway complex is situated on 28 acres adjacent to Buffalo Bayou with rolling terrain. Immediate access to Woodway and Loop 610.
100 Congress Ave., Austin, TX 78701	30.264007	-97.744799	Office	Office	Office Building	411,536 SF Bldg	1,246 - 7,887 SF	$131.87 - $834.71	$36.50 - 37 /SF/Yr	6 Spaces	This granite clad building has on-site retailers and valet parking.  Located across the street from Town Lake/Zilker Park.
100 Congress Avenue, Austin, TX 78701	30.264007	-97.744799	Office	Office	Office Building	411,536 SF Bldg	5,855 SF	$619.65	$28.50 /SF/Yr	1 Space	Primarily open configuration with interior offices. Dramatic lake and western views included. CBD
1001 Capital of TX Hwy S, Austin, TX 78746	30.287411	-97.826085	Office	Office	Office Building	10,000 SF Bldg	4,978 SF	$526.84	$27 /SF/Yr	1 Space	 
100-312 N Gulf, Freeway League City, TX 77573	29.505291	-95.114802	Retail	Retail	Neighborhood Center	24,933 SF GLA	887 - 12,500 SF	$87.96 - $1,239.58	Negotiable	4 Spaces	Excellent visibility from the Gulf Freeway (I-45) and FM 518. Pylon sign available. Anchor and in-line space. I-45 at FM 518, League City, TX
1010 Lamar Street, Houston, TX 77002	29.755714	-95.365168	Office	Office	Office Building	258,776 SF Bldg	2,953 SF	$312.53	$19.50 /SF/Yr	1 Space	On-site conference center. Downtown Tunnel connected.
1016 La Posada, Austin, TX 78759	30.326006	-97.702498	Office	Office	Office Building	60,798 SF Bldg	2,267 SF	$239.92	$22 /SF/Yr	1 Space	One La Costa is a two story office building located in Northeast Austin. Conveniently located on the northeast corner of I-35 and Hwy 183 with easy access to both.
102 North LBJ Drive, San Marcos, TX 78666	29.882296	-97.939732	Retail	Retail	Retail (Other)	7,600 SF Bldg	1,000 - 6,600 SF	$99.17 - $654.50	$26 - 28 /SF/Yr	2 Spaces	Three story historic building built in 1879. 18 rear parking spaces and on-street parking. Located four blocks away from Texas State University, with over 36,000 students and 3,050 faculty and staff.
1020 Holcombe, Houston, TX 77030	29.7059	-95.404683	Office	Office	Office Building	280,000 SF Bldg	8,877 - 40,118 SF	$939.48 - $4,245.82	$30 /SF/Yr	17 Spaces	Balconies, banking, food service, on- site management, restaurant, security system. Medical Center
1020 NE Loop 410, San Antonio, TX 78216	29.515538	-98.45695	Office	Office	Office Building	159,440 SF Bldg	2,125 SF	$224.90	$24 /SF/Yr	1 Space	Plug and Play Opportunity. Work stations in place with largebreak room available for use. Located near San Antonio International Airport. Minutes from 281/410 interchange.
1025 Post & Paddock Street, Grand Prairie, TX 75050	32.794915	-97.051157	Warehouse and Storage	Industrial	Distribution Warehouse	136,702 SF Bldg	136,702 SF	$5,468.08	$3.95 /SF/Yr	1 Space	Class A Distribution Space; office is build to suit; 31 trailer parking spaces; 57' x 40' column spacing; Located in highly desired Upper GSW Industrial Submarket; East access to SH360 & I-30/I-20 via SH360;
10301 Round Up Lane, Houston, TX 77064	29.918562	-95.562785	Warehouse and Storage	Industrial	Distribution Warehouse	78,400 SF Bldg	26,000 SF	$1,040.00	Negotiable	1 Space	Property Features include:(+/-)26,400 SF of warehouse storage space available, 7 to 10 dock high doors, Easy Access to Sam Houston Tollway (Beltway 8), Interstate 45, Highway 290 and Highway 249
10315 Wetmore, San Antonio, TX 78216	29.534557	-98.454331	Warehouse and Storage	Industrial	Flex Space	31,683 SF Bldg	31,683 SF	$1,267.32	$8.50 /SF/Yr	1 Space	 
10375 Richmond Ave, Houston, TX 77042	29.727021	-95.556324	Office	Office	Office Building	360,700 SF Bldg	22 - 18,400 SF	$2.33 - $1,947.33	$21 - 21.50 /SF/Yr	13 Spaces	Card Key Access. Conferencing Facility. Corner Lot. Mail Room,.On Site Management. Deli. Security System. Westchase submarket.
10455 BRIAR FOREST DRIVE, Houston, TX 77042	29.746925	-95.559814	Retail	Retail	Neighborhood Center		1,865 - 3,371 SF	$184.95 - $334.29	Negotiable	2 Spaces	Great for Restaurant, Boutique Office, Medical and Service Uses. Located in the Heart of the Westchase District with Close Proximity to Over 1,500 Businesses.
1054-1058 Texan Trail Grapevine, TX 76051	32.936062	-97.063803	Office	Office	Office Building	17,654 SF Bldg	3,727 - 6,191 SF	$394.44 - $655.21	Negotiable	3 Spaces	This sublease offers 3 unique space opportunities within an upscale office park environment. Grapevine Station is a recent 38 acre commercial development in Dallas/Ft. Worth metroplex, with
10555 Pearland Pkwy, Houston, TX 77089	29.597705	-95.26555	Retail	Retail	Neighborhood Center	53,518 SF GLA	1,370 - 89,733.60	$135.86 - $8,898.58	Negotiable	8 Spaces	Pad sites available for purchase along Beltway 8. 10555 Pearland Pkwy at Beltway 8.
106 E. Settlers Blvd., Round Rock, TX 78664	30.535112	-97.68676	Warehouse and Storage	Industrial	Flex Space	168,702 SF Bldg	64,771 SF	$2,590.84	$7.20 /SF/Yr	1 Space	64,771 SF Available (15,395 SF Warehouse, 16,098 SF Office, 33,278 SF Production). Located in Federal Trade Zone.
10601 Sentinel, San Antonio, TX 78217	29.537845	-98.446964	Warehouse and Storage	Industrial	Warehouse	30,050 SF Bldg	30,050 SF	$1,202.00	$4.75 /SF/Yr	1 Space	Distribution warehouse for sublease. Total size is 30,050 SF. Great North Central location having close proximity to the San Antonio International Airport.
10880 Alcott Drive, Houston, TX 77043	29.816454	-95.568815	Office	Office	Office Building	7,200 SF Bldg	7,200 SF	$762.00	$10 /SF/Yr	1 Space	Private offices environment, full- service kitchen, entertainment/gym area, stable ownership. Northwest Inner Loop.
110 E Martin Luther King Dr, San Marcos, TX 78666	29.879568	-97.940162	Food Service	Retail	Restaurant	39,527 SF Bldg	1,428 - 9,395 SF	$410.55 - $2,701.06	$26 - 28 /SF/Yr	9 Spaces	One story commercial building at the intersection of West MLK, South LBJ and South Guadalupe St-127. Located minutes away from Texas State University, with over 36,000 students and 3,050 faculty and staff.
1102 W North Carrier, Grand Prairie, TX 75050	32.78445	-97.049412	Warehouse and Storage	Industrial	Warehouse	176,391 SF Bldg	50,112 SF	$2,004.48	$3.95 /SF/Yr	1 Space	Tilt wall construction; 48' x 36' column spacing; heavy parking; excess land along carrier for parking. Immediate access to Hwy 360/Hwy 161/Hwy 183 & I- 30; five minutes from D/FW International Airport.
1103 Rivery Blvd, Georgetown, TX 78628	30.645517	-97.688904	Retail	Retail	Neighborhood Center	46,469 SF GLA	1,204 - 4,015 SF	$119.40 - $398.15	Negotiable	5 Spaces	Major Tenants include Bealls, AT&T, Cici' s Pizza, and Liberty Mutual Insurance. Located at I-35 & Rivery Blvd, just south of Williams Drive.
11050 West Little York, bldg. P, Houston, TX 77041	29.867851	-95.571502	Warehouse and Storage	Industrial	Warehouse	22,851 SF Bldg	22,851 SF	$914.04	$5.76 - 5.88 /SF/Yr	1 Space	 Located in northwest Houston.
111 Congress Avenue, Austin, TX 78701	30.263543	-97.743539	Office	Office	Office Building	518,385 SF Bldg	3,733 SF	$395.08	$10 /SF/Yr	1 Space	Prime downtown location with dramatic lake and western views. Building offers on- site property. Walking distance from first- class restaurants, hotels and shopping.
1110 Metric Blvd, Austin, TX 78758	30.393409	-97.707494	Warehouse and Storage	Industrial	Flex Space	39,606 SF Bldg	4,419 SF	$176.76	$12.60 /SF/Yr	1 Space	Pristine flex buildings within the Braker/Metric intersection. Can accommodate range of users. Easy access to major thoroughfares Hwy. 183, Mopac and 360.
1111 W Bardin, Arlington, TX 76017	32.672293	-97.126893	Warehouse and Storage	Industrial	Warehouse	420,000 SF Bldg	420,000 SF	$16,800.00	Negotiable	1 Space	Cooper I-20, Building B is a modern bulk distribution center located in the Dallas/Fort Worth area. Ideally located in close proximity to Interstate 20, with easy access to Interstate 35 and Interstate 30.
1122 W N Carrier Grand Prairie, TX 75050	32.756019	-97.018705	Warehouse and Storage	Industrial	Distribution Warehouse	43,565 SF Bldg	21784 SF	$871.36	$4.25 /SF/Yr	1 Space	Half of duplexed warehouse building. High image facility at the corner of Carrier & GSW Parkway.
