Region,Date,Actual,Predicted,Delta
Coast,12/1/2015,227423.92,233052.13,2.47%
East,12/1/2015,33212.10,31223.12,5.99%
FarWest,12/1/2015,48825.61,49577.30,1.54%
North,12/1/2015,20166.86,20169.49,0.01%
NorthCentral,12/1/2015,306963.36,301378.48,1.82%
South,12/1/2015,67605.26,67636.05,0.05%
SouthCentral,12/1/2015,138575.52,137621.24,0.69%
Totals,12/1/2015,868957.61,867765.65,0.14%
West,12/1/2015,26184.99,27107.88,3.52%
Coast,12/2/2015,229595.87,234030.43,1.93%
East,12/2/2015,33126.06,32046.88,3.26%
FarWest,12/2/2015,49360.78,50411.35,2.13%
North,12/2/2015,20046.93,19656.66,1.95%
NorthCentral,12/2/2015,303939.84,299611.10,1.42%
South,12/2/2015,67222.97,67087.57,0.20%
SouthCentral,12/2/2015,136485.93,137800.98,0.96%
Totals,12/2/2015,866020.60,867904.21,0.22%
West,12/2/2015,26242.21,27259.21,3.88%
Coast,12/3/2015,232845.43,241499.66,3.72%
East,12/3/2015,33297.82,32584.24,2.14%
FarWest,12/3/2015,48522.22,49817.73,2.67%
North,12/3/2015,19333.59,19148.56,0.96%
NorthCentral,12/3/2015,293618.00,294526.15,0.31%
South,12/3/2015,67738.37,68721.25,1.45%
SouthCentral,12/3/2015,145896.60,142793.83,2.13%
Totals,12/3/2015,868274.47,876115.57,0.90%
West,12/3/2015,27022.40,27024.10,0.01%
Coast,12/4/2015,239459.81,243474.06,1.68%
East,12/4/2015,31970.94,32326.17,1.11%
FarWest,12/4/2015,49176.86,49630.73,0.92%
North,12/4/2015,18838.56,18610.94,1.21%
NorthCentral,12/4/2015,286642.71,291424.02,1.67%
South,12/4/2015,69430.67,69826.38,0.57%
SouthCentral,12/4/2015,142544.62,145525.48,2.09%
Totals,12/4/2015,864268.08,877967.23,1.59%
West,12/4/2015,26203.89,27149.43,3.61%
Coast,12/5/2015,224544.60,231420.81,3.06%
East,12/5/2015,30361.38,29513.22,2.79%
FarWest,12/5/2015,49168.77,48622.63,1.11%
North,12/5/2015,18477.17,18253.81,1.21%
NorthCentral,12/5/2015,276840.15,280855.47,1.45%
South,12/5/2015,63906.04,64668.93,1.19%
SouthCentral,12/5/2015,136024.69,136495.55,0.35%
Totals,12/5/2015,824443.87,834919.34,1.27%
West,12/5/2015,25121.08,25088.97,0.13%
Coast,12/6/2015,213906.77,223825.77,4.64%
East,12/6/2015,28148.78,27790.83,1.27%
FarWest,12/6/2015,48692.97,49401.66,1.46%
North,12/6/2015,17934.36,17885.18,0.27%
NorthCentral,12/6/2015,257632.15,259809.56,0.85%
South,12/6/2015,60693.54,62153.65,2.41%
SouthCentral,12/6/2015,129426.39,128738.88,0.53%
Totals,12/6/2015,780841.02,794507.06,1.75%
West,12/6/2015,24406.10,24901.48,2.03%
Coast,12/7/2015,230861.03,234427.13,1.54%
East,12/7/2015,30482.38,30629.90,0.48%
FarWest,12/7/2015,50054.17,49560.75,0.99%
North,12/7/2015,18895.94,18637.17,1.37%
NorthCentral,12/7/2015,276779.99,278199.13,0.51%
South,12/7/2015,63776.92,65456.22,2.63%
SouthCentral,12/7/2015,133588.49,137521.96,2.94%
Totals,12/7/2015,829697.91,840791.26,1.34%
West,12/7/2015,25258.99,26359.00,4.35%
Coast,12/8/2015,232150.20,234935.10,1.20%
East,12/8/2015,30329.75,29563.96,2.52%
FarWest,12/8/2015,49532.78,48631.25,1.82%
North,12/8/2015,18343.46,17793.72,3.00%
NorthCentral,12/8/2015,265970.62,262603.86,1.27%
South,12/8/2015,64771.53,65174.47,0.62%
SouthCentral,12/8/2015,132194.46,135174.45,2.25%
Totals,12/8/2015,817725.25,818867.08,0.14%
West,12/8/2015,24432.46,24990.26,2.28%
Coast,12/9/2015,232801.91,235662.36,1.23%
East,12/9/2015,29127.05,28730.61,1.36%
FarWest,12/9/2015,49786.17,49122.68,1.33%
North,12/9/2015,17992.44,17599.65,2.18%
NorthCentral,12/9/2015,259482.89,259337.07,0.06%
South,12/9/2015,66351.80,66319.42,0.05%
SouthCentral,12/9/2015,129409.68,129480.04,0.05%
Totals,12/9/2015,809193.28,811088.77,0.23%
West,12/9/2015,24241.43,24837.00,2.46%
Coast,12/10/2015,237503.49,238068.92,0.24%
East,12/10/2015,29792.31,27928.90,6.25%
FarWest,12/10/2015,48522.76,48340.42,0.38%
North,12/10/2015,17773.01,17377.94,2.22%
NorthCentral,12/10/2015,259967.79,256157.95,1.47%
South,12/10/2015,68284.18,66719.40,2.29%
SouthCentral,12/10/2015,128596.86,125499.11,2.41%
Totals,12/10/2015,814894.62,804211.95,1.31%
West,12/10/2015,24454.26,24119.33,1.37%
Coast,12/11/2015,254081.85,243605.45,4.12%
East,12/11/2015,27296.58,27664.97,1.35%
FarWest,12/11/2015,49346.71,48310.26,2.10%
North,12/11/2015,17307.29,17435.34,0.74%
NorthCentral,12/11/2015,256136.59,257592.80,0.57%
South,12/11/2015,70089.59,67836.65,3.21%
SouthCentral,12/11/2015,129686.67,127962.36,1.33%
Totals,12/11/2015,827447.63,814578.82,1.56%
